message_id,channel,timestamp,date_display,text,views,has_photo,has_video,forwarded_from,is_reply,mentions_bkash,mentions_nagad,mentions_rocket,has_fraud_keyword,has_url,has_phone,has_username,has_bangla,word_count,scraped_at
76,ag4566,2026-01-28T13:19:19+00:00,13:19,"🔥
 OKEXPAY｜Recruiting Partners for Pakistan Local Payment Gateway 
🔥
🇵🇰
 Native Channels for EasyPaisa / JazzCash
💰
 Ample Quotas · High Volume Welcome · Long-Term Stability
✅
 Core Advantages
Direct Local Connectivity to EasyPaisa / JazzCash
Ample quotas supporting sustained high volume
Stable channels with no order loss under high concurrency
Fast callbacks with clear data
7×24 operation with no downtime
D0 settlement for seamless cash flow
🎯
 Ideal for
Category I / II / III projects
BC / Gaming / Multi-service businesses
High-volume teams, high-traffic merchants, channel partners
💡
 Our Sole Focus
Delivering stable payments for worry-free volume scaling
Long-term partnerships, consistent volume growth, transparent rules
Not a sprint—let's accelerate together 
🚀
📩
 Partnership / Integration Inquiries
TG: 
@okex01
TG: 
@okextv
🤖
 Two-Way Bot: 
@okpay1668_bot",268,True,False,,False,False,False,False,False,False,False,True,False,126,2026-05-24T03:46:08.218536
77,ag4566,2026-02-16T15:31:47+00:00,15:31,"🔥
 OKEXPAY 2026 Spring Festival Business Invitation 
🔥
Dear Partners,
🎊
 𝟐𝟎𝟐𝟔 Happy Chinese New Year 
🎊
🐎
 Gallop into New Horizons · Soar with Prosperity
🐴
 Achieve Success Instantly · Triple Your Volume
💰
 Instant Volume · Instant Wealth
This New Year
is not about small gains, but explosive growth
not about minor collaborations, but deep partnerships
🚀
 Spring Festival Period · Full Operations
🔥
 Platform systems running 24/7
🔥
 Stable 24-hour settlement payouts
🔥
 Core channels available around the clock
🔥
 Real-time technical/customer support
We never close
The market never stops
Opportunities never cease
2026
Let's together:
🔥
 Scale up
🔥
 Expand
🔥
 Dominate the market
Wishing you prosperous business!
Sincerely,
The OKEXPAY Team",220,True,False,,False,False,False,False,True,False,False,False,False,116,2026-05-24T03:46:08.219695
78,ag4566,2026-03-07T15:48:50+00:00,15:48,"🟩
 OKEXPAY｜Native Local Payment Gateway
🌍
 Global Localized Payments · Direct Source Connections
Core Markets
🇵🇰
 Pakistan ｜ 
🇹🇭
 Thailand ｜ 
🇧🇩
 Bangladesh
🇵🇭
 Philippines ｜ 
🇯🇵
 Japan Japan ｜ 
🇺🇸
 United States
Featured Channels
EasyPaisa / JazzCash / GCash / bKash / Japanese Online Banking / CashApp
✔️
 Native Local Channels
✔️
 High Success Rates · Fast Callbacks
✔️
 Stable Volume Processing · Long-Term Partnerships
✔️
 24/7 Online Support
━━━━━━━━━━━━━━
📬
 Business Cooperation / Account Opening
TG: 
@okex01
TG: 
@okexpay01
TG: 
@okextv
🤖
 Bot: 
@okpay1668_bot
📢
 Official Channel
https://t.me/okpay_kk",190,True,False,,False,True,False,False,False,True,False,True,False,90,2026-05-24T03:46:08.228066
79,ag4566,2026-03-14T14:33:22+00:00,14:33,"Channel Name: Japan
Product: Gateway
Transaction Success Rate: 85%
Account Opening Fee: 0
Settlement Cycle: 24 hours
Supported Currencies: JPY, USDT
Supported Terminals: D0
Top-up Method: Gateway
Dispatch Method: API, Manual Dispatch
API Payment Processing: D0 Settlement
Merchant Daily Limit: 10 million
Single Top-up Limit: 2,000–500,000
Single Payment Limit: 10,000–500,000
Single Disbursement Limit: 10,000–1,000,000
Transaction Time: Normal orders settle in 1–5 minutes / Abnormal orders require manual processing (Subject to the channel’s own customer service response time)
Third-Party Payment Processing Time: Normal: 1–5 minutes / Abnormal orders require verification by both parties before payout (Subject to the channel’s own customer service response time)
Third-Party Collection Processing Time: 24 hours
Third-Party Payment Processing Time: 24 hours
Dispatch Time: 24 hours
Funds Arrival Time: 24 hours
Customer Service Hours: 24 hours
Complaint Handling: 1:1 compensation
Does it cover legal proceedings? No
Legal Freeze: Merchant balance frozen 1:1
Backend Reconciliation: Available
Client Account Type Restrictions: Positive BC
Channel Placement (Inner/Outer Layer): Must be inner layer; merchants will be suspended if placed in outer layer
Dedicated cards only. If a single card is deactivated or frozen before reaching 30 million in transaction volume, compensation of 750,000 JPY per card is required, plus reimbursement of the card’s remaining balance",167,False,False,,False,False,False,False,True,False,False,False,False,204,2026-05-24T03:46:08.229939
80,ag4566,2026-03-20T03:40:12+00:00,03:40,"Australia
KYC is required.
Method: PayID (Automatic p2c method)
Business type: Igaming and Forex
Traffic type: FTD+TD
Limits (in/out)
50 - 5000 AUD
Settlement:
0%
USDT, AUD
T+1
Conditions:
• 24/7
• API automatic, instant pay-ins/pay-outs
• No daily/monthly limits
• Processing under license company
• KYC required (on our side)",135,False,False,,False,False,False,False,False,False,False,False,False,51,2026-05-24T03:46:08.231403
81,ag4566,2026-03-20T03:41:20+00:00,03:41,"Japan Version Alipay 
Channel description:
1. Credit card payments: instant fund transfer
2. T+0 Settlement
3. Low complaint rate and can significantly reduce claims from low-quality clients. It also helps avoid bank-side risk management and judicial account freeze issues, providing a major advantage in the current market.
4. Minimum guarantee requirements 
5. Refund all complaints 1:1
Method: Credit Card & Debit (VISA, MC, JCB)
FTD + TD
Limits: 2 000 – 60 000 JPY
Settlement rules:
USDT, T+0 
Deposit Service Hours:
Monday to Sunday, 24 hours
📖
 Cooperation Notes:
Platform member recharge rates are updated daily. Conversion is based on Mitsubishi UFJ Bank foreign exchange rate TTB (foreign currency → JPY).
This channel is exclusive to platform clients in Japan. Clients from other regions are not permitted.",165,False,False,,False,False,False,False,True,False,False,False,False,127,2026-05-24T03:46:08.232769
82,ag4566,2026-03-26T17:55:55+00:00,17:55,"OKexpay - South Korea 
🇰🇷
Method - Kakao QR
Min-Max transaction 
• Pay-in  — 30 000 - 5 000 000 
• Pay-out — 30 000 - 5 000 000 
Conditions
Settlement period — T+0
Integration — h2h
Type — FTD, TRUSTED
Balance — KRW",162,False,False,,False,False,False,False,False,False,False,False,False,44,2026-05-24T03:46:08.234274
83,ag4566,2026-03-30T13:46:25+00:00,13:46,"Settlement Cycle: D0
Top-up Methods: Wallet QR code/Copy (wavemoney, KBZ Pay)
Disbursement Methods: Return to U, Agent Payment
Return to U Rate Basis: Water merchant, quoted before disbursement
Single Top-up Limit: 1–1,000,000 MMK
Single Agent Payment Limit: 1–1,000,000 MMK
Single Online Banking Limit: 1,000,000–10,000,000 MMK
Return to U Disbursement Limit: Minimum 1,000 U
Transaction Time: 24H
Return to U Time: 10:00–22:00 (Myanmar Time)
Agent Payment Arrival Time: Real-time
Customer Service Hours: 24H
Complaint Handling: If a complaint causes bank payment freeze, the frozen amount is frozen 1:1 with merchant balance, returned after unfreezing
Judicial/Frozen Cases: Judicial cases are not covered; if bank freezes funds, the merchant balance is frozen proportionally, returned after unblocking/unfreezing
Reconciliation Method: System backend reconciliation
Merchant Undertaking Type: BC",158,False,False,,False,False,False,False,True,False,False,False,False,122,2026-05-24T03:46:08.236533
86,ag4566,2026-03-30T13:48:50+00:00,13:48,"Currency Code: PHP
Collection: 100-50000
Payment: 100-50000
Business Type: Gcash Activation
Success Rate: 80-88%
Callback Method: API
Settlement Cycle: D0
Payment Methods: Gcash / USDT
E-wallet: Gcash
Wallet Limit: Unlimited
Transaction Time: 24H
Customer Service Time: 24H
Cycle Requirement: None
Return Time: D0
Return Amount: 1000U
Remarks:
Channel Access Levels:
1. Member complaints must be handled by the merchant contacting the member to retract the complaint themselves.
2. Unresolved member complaints may result in channel closure depending on the situation.
3. Member complaints will result in the corresponding funds being frozen 1:1; if the complaint is not retracted within 24H, the funds will be refunded via the original route and will not be unfrozen.",174,False,False,,False,False,False,False,False,False,False,False,False,114,2026-05-24T03:46:08.237825
87,ag4566,2026-04-12T04:50:30+00:00,04:50,"okexpay India Wake-up
📣
【 Payment Rules 】
📣
➡️
 Payment Model: Wake-up 
➡️
 Success Rate: 50%+
➡️
 Settlement Cycle: D0
➡️
 Collection: 100–50,000 INR
➡️
 Outbound Payments: 200–50,000 INR
➡️
 Transaction Hours: 24/7, 365 days a year
➡️
 Disbursement Time: 10:00–24:00 (India Time), for amounts of 100,000 INR and above
🔥
 Account Freeze for Complaints: All non-Category 1 accounts will be frozen!
✅
 Accepted Products:
 Category 1 Funds: Gaming, BC, QP, Sports, Lottery,
❗️
 Other types require account verification. If any other disguised products are detected, all funds in the account will be frozen immediately
❕
👏
 We look forward to a long-term, mutually beneficial partnership with you, and wish you continued success and growth! 
💲
💲
💲",136,False,False,,False,False,False,False,True,False,False,False,False,119,2026-05-24T03:46:08.238525
