label,message,feat_char_count,feat_word_count,feat_sentence_count,feat_avg_word_length,feat_contains_bangla,feat_bangla_ratio,feat_contains_english,feat_is_code_mixed,feat_has_url,feat_url_count,feat_has_url_shortener,feat_has_phone,feat_phone_count,feat_urgency_word_count,feat_has_urgency,feat_scam_indicator_count,feat_has_scam_indicator,feat_action_word_count,feat_has_action,feat_exclamation_count,feat_question_count,feat_all_caps_words,feat_digit_count,feat_digit_ratio,feat_mentions_bkash,feat_mentions_nagad,feat_mentions_rocket,feat_mentions_dbbl,feat_mentions_otp,feat_mentions_pin,feat_has_spelling_error,feat_readability_score
scam,Claim your loan approved by sending <PERSON> immediately.,57,8,1,6.25,False,0.0,True,False,False,0,False,False,0,1,True,1,True,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
scam,"Fraudulent transaction detected, provide your <PERSON>.",55,6,1,8.333333333333334,False,0.0,True,False,False,0,False,False,0,0,False,0,False,0,False,0,0,1,0,0.0,False,False,False,False,False,False,False,0
scam,"Your account has been suspended, verify <PERSON> now!",53,8,1,5.75,False,0.0,True,False,False,0,False,False,0,1,True,2,True,1,True,1,0,1,0,0.0,False,False,False,False,False,False,False,0
ham,Your account balance is adequate.,33,5,1,5.8,False,0.0,True,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
ham,Please ignore unknown SMS.,26,4,1,5.75,False,0.0,True,False,False,0,False,False,0,1,True,0,False,0,False,0,0,1,0,0.0,False,False,False,False,False,False,False,0
scam,Click here to reset your banking password.,42,7,1,5.142857142857143,False,0.0,True,False,False,0,False,False,0,0,False,2,True,1,True,0,0,0,0,0.0,False,False,False,False,False,False,False,0
ham,Payment received successfully.,30,3,1,9.333333333333334,False,0.0,True,False,False,0,False,False,0,0,False,0,False,1,True,0,0,0,0,0.0,False,False,False,False,False,False,False,0
scam,Send your <PERSON> to claim your prize!,39,7,1,4.714285714285714,False,0.0,True,False,False,0,False,False,0,0,False,2,True,1,True,1,0,1,0,0.0,False,False,False,False,False,False,False,0
scam,Your debit card has been blocked.,33,6,1,4.666666666666667,False,0.0,True,False,False,0,False,False,0,0,False,1,True,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
ham,"New offers available, accept <DATE_TIME>!",41,5,1,7.4,False,0.0,True,False,False,0,False,False,0,0,False,1,True,0,False,1,0,1,0,0.0,False,False,False,False,False,False,False,0
